The following 8 lines contain the PSD for the velocity sensor the lowest bin is first.
6.4383, 15.6314, 10.6597, 7.2205, 5.4805, 4.6042, 4.0862, 3.5915, 3.3771, 3.1062, 2.9347, 2.7310, 2.5805, 2.4387, 2.3166, 2.2233,
2.1967, 2.0743, 1.9952, 1.9040, 1.8372, 1.7092, 1.6196, 1.6178, 1.6021, 1.4782, 1.4045, 1.3548, 1.3526, 1.2549, 1.1534, 1.1020,
1.0723, 1.0130, 0.9696, 0.9162, 0.9091, 0.8343, 0.8032, 0.7686, 0.7601, 0.7180, 0.6847, 0.6546, 0.6297, 0.5851, 0.5602, 0.5396,
0.5210, 0.4844, 0.4561, 0.4456, 0.4352, 0.3973, 0.3694, 0.3605, 0.3502, 0.3207, 0.3007, 0.2841, 0.2765, 0.2606, 0.2505, 0.2342,
0.2277, 0.2096, 0.2007, 0.1907, 0.1788, 0.1698, 0.1656, 0.1568, 0.1486, 0.1365, 0.1273, 0.1204, 0.1165, 0.1077, 0.1037, 0.1002,
0.0962, 0.0951, 0.1055, 0.1247, 0.1370, 0.1274, 0.1048, 0.0851, 0.0733, 0.0647, 0.0598, 0.0552, 0.0513, 0.0487, 0.0455, 0.0438,
0.0427, 0.0405, 0.0398, 0.0383, 0.0366, 0.0348, 0.0336, 0.0319, 0.0313, 0.0298, 0.0284, 0.0281, 0.0295, 0.0296, 0.0301, 0.0297,
0.0308, 0.0332, 0.0358, 0.0369, 0.0341, 0.0291, 0.0272, 0.0254, 0.0251, 0.0245, 0.0239, 0.0238, 0.0237, 0.0236, 0.0237, 0.0241

The next 8 lines contain the reciprocle of the above, these are the valued need to be input in the arduino program
0.1553, 0.0640, 0.0938, 0.1385, 0.1825, 0.2172, 0.2447, 0.2784, 0.2961, 0.3219, 0.3408, 0.3662, 0.3875, 0.4101, 0.4317, 0.4498,
0.4552, 0.4821, 0.5012, 0.5252, 0.5443, 0.5851, 0.6174, 0.6181, 0.6242, 0.6765, 0.7120, 0.7381, 0.7393, 0.7969, 0.8670, 0.9074,
0.9326, 0.9872, 1.0314, 1.0915, 1.1000, 1.1986, 1.2450, 1.3011, 1.3156, 1.3928, 1.4606, 1.5277, 1.5881, 1.7092, 1.7851, 1.8531,
1.9195, 2.0645, 2.1925, 2.2439, 2.2980, 2.5168, 2.7072, 2.7737, 2.8555, 3.1184, 3.3260, 3.5193, 3.6161, 3.8374, 3.9928, 4.2702,
4.3920, 4.7700, 4.9826, 5.2442, 5.5917, 5.8892, 6.0378, 6.3775, 6.7286, 7.3256, 7.8573, 8.3055, 8.5867, 9.2870, 9.6388, 9.9760,
10.3898, 10.5184, 9.4779, 8.0207, 7.3009, 7.8472, 9.5396, 11.7559, 13.6496, 15.4611, 16.7175, 18.1241, 19.4885, 20.5226, 21.9916, 22.8274,
23.4091, 24.6922, 25.0990, 26.0959, 27.3126, 28.7767, 29.7890, 31.3711, 31.9253, 33.5388, 35.2620, 35.6367, 33.8904, 33.7681, 33.2149, 33.6197,
32.4968, 30.1384, 27.9165, 27.1333, 29.3589, 34.3885, 36.7527, 39.4070, 39.8957, 40.8402, 41.7723, 42.0470, 42.1132, 42.3406, 42.2142, 41.5183
