The following 8 lines contain the PSD for the velocity sensor the lowest bin is first.
28.7951, 9.6215, 4.2903, 3.5123, 3.3558, 3.0058, 2.7837, 2.5309, 2.2718, 2.0884, 1.8211, 1.5761, 1.4743, 1.3690, 1.2539, 1.2310,
1.2752, 1.1297, 1.0836, 1.0689, 1.0347, 0.9931, 0.9563, 0.9354, 0.9034, 0.8710, 0.8301, 0.8020, 0.7726, 0.7328, 0.7383, 0.7129,
0.7303, 0.7077, 0.6775, 0.6585, 0.6619, 0.6215, 0.5924, 0.6005, 0.5975, 0.5685, 0.5728, 0.5417, 0.5712, 0.5601, 0.5489, 0.5564,
0.5483, 0.5240, 0.5245, 0.5212, 0.5154, 0.4986, 0.4857, 0.4870, 0.4960, 0.4787, 0.4794, 0.4783, 0.4731, 0.4565, 0.4626, 0.4473,
0.4545, 0.4464, 0.4331, 0.4240, 0.4357, 0.4210, 0.4148, 0.4206, 0.4299, 0.4056, 0.4019, 0.4136, 0.4220, 0.4070, 0.3993, 0.3992,
0.3995, 0.4017, 0.3889, 0.3846, 0.3886, 0.3898, 0.3865, 0.3917, 0.3996, 0.3880, 0.3727, 0.3725, 0.3840, 0.3779, 0.3855, 0.3786,
0.3826, 0.3664, 0.3664, 0.3766, 0.3710, 0.3660, 0.3711, 0.3637, 0.3795, 0.3734, 0.3617, 0.3610, 0.3600, 0.3587, 0.3550, 0.3606,
0.3705, 0.3505, 0.3520, 0.3507, 0.3629, 0.3687, 0.3604, 0.3609, 0.3558, 0.3567, 0.3543, 0.3564, 0.3572, 0.3543, 0.3628, 0.3680

The next 8 lines contain the reciprocle of the above, these are the valued need to be input in the arduino program
0.0347, 0.1039, 0.2331, 0.2847, 0.2980, 0.3327, 0.3592, 0.3951, 0.4402, 0.4788, 0.5491, 0.6345, 0.6783, 0.7305, 0.7975, 0.8123,
0.7842, 0.8852, 0.9229, 0.9356, 0.9665, 1.0069, 1.0457, 1.0690, 1.1069, 1.1480, 1.2047, 1.2469, 1.2943, 1.3647, 1.3544, 1.4027,
1.3693, 1.4131, 1.4761, 1.5186, 1.5107, 1.6089, 1.6880, 1.6654, 1.6735, 1.7590, 1.7459, 1.8460, 1.7506, 1.7852, 1.8217, 1.7972,
1.8237, 1.9084, 1.9067, 1.9187, 1.9402, 2.0056, 2.0587, 2.0533, 2.0160, 2.0891, 2.0859, 2.0907, 2.1137, 2.1906, 2.1616, 2.2358,
2.2001, 2.2401, 2.3089, 2.3585, 2.2954, 2.3751, 2.4108, 2.3778, 2.3263, 2.4653, 2.4882, 2.4176, 2.3697, 2.4569, 2.5044, 2.5051,
2.5029, 2.4896, 2.5712, 2.6002, 2.5733, 2.5651, 2.5876, 2.5529, 2.5022, 2.5773, 2.6828, 2.6842, 2.6040, 2.6461, 2.5938, 2.6412,
2.6139, 2.7292, 2.7294, 2.6554, 2.6956, 2.7324, 2.6944, 2.7494, 2.6353, 2.6778, 2.7645, 2.7702, 2.7777, 2.7875, 2.8170, 2.7731,
2.6993, 2.8530, 2.8413, 2.8517, 2.7554, 2.7123, 2.7747, 2.7712, 2.8109, 2.8037, 2.8224, 2.8056, 2.7994, 2.8221, 2.7561, 2.7174
