The following 8 lines contain the PSD for the velocity sensor the lowest bin is first.
8.6181, 22.0465, 14.0263, 7.9268, 6.1963, 5.0227, 4.2565, 3.8363, 3.5074, 2.8823, 2.5908, 2.5117, 2.3967, 2.1107, 2.2091, 2.0729,
1.9178, 1.7010, 1.7167, 1.5918, 1.5937, 1.5432, 1.5197, 1.4118, 1.3796, 1.2757, 1.2481, 1.2550, 1.2388, 1.0913, 0.9957, 0.8954,
0.8932, 0.7854, 0.7138, 0.6447, 0.5710, 0.5350, 0.4613, 0.4397, 0.4170, 0.3708, 0.3098, 0.2911, 0.2754, 0.2448, 0.2308, 0.2173,
0.2014, 0.1826, 0.1750, 0.1602, 0.1511, 0.1485, 0.1527, 0.1500, 0.1448, 0.1420, 0.1341, 0.1306, 0.1351, 0.1213, 0.1217, 0.1195,
0.1200, 0.1151, 0.1147, 0.1026, 0.1014, 0.1033, 0.0997, 0.0927, 0.0990, 0.0993, 0.1024, 0.1002, 0.0989, 0.0941, 0.0873, 0.0894,
0.0867, 0.0787, 0.0799, 0.0803, 0.0784, 0.0725, 0.0672, 0.0670, 0.0636, 0.0594, 0.0565, 0.0527, 0.0490, 0.0479, 0.0434, 0.0415,
0.0418, 0.0374, 0.0337, 0.0317, 0.0326, 0.0326, 0.0309, 0.0297, 0.0307, 0.0283, 0.0281, 0.0305, 0.0326, 0.0331, 0.0353, 0.0345,
0.0310, 0.0313, 0.0339, 0.0352, 0.0354, 0.0319, 0.0285, 0.0283, 0.0290, 0.0264, 0.0261, 0.0264, 0.0279, 0.0277, 0.0274, 0.0270

The next 8 lines contain the reciprocle of the above, these are the valued need to be input in the arduino program
0.1160, 0.0454, 0.0713, 0.1262, 0.1614, 0.1991, 0.2349, 0.2607, 0.2851, 0.3469, 0.3860, 0.3981, 0.4172, 0.4738, 0.4527, 0.4824,
0.5214, 0.5879, 0.5825, 0.6282, 0.6275, 0.6480, 0.6580, 0.7083, 0.7248, 0.7839, 0.8012, 0.7968, 0.8072, 0.9164, 1.0043, 1.1168,
1.1196, 1.2732, 1.4009, 1.5512, 1.7512, 1.8693, 2.1679, 2.2741, 2.3980, 2.6968, 3.2274, 3.4354, 3.6315, 4.0846, 4.3335, 4.6024,
4.9649, 5.4751, 5.7131, 6.2438, 6.6185, 6.7320, 6.5505, 6.6657, 6.9062, 7.0417, 7.4554, 7.6586, 7.4018, 8.2418, 8.2156, 8.3651,
8.3336, 8.6907, 8.7176, 9.7455, 9.8632, 9.6769, 10.0271, 10.7875, 10.1001, 10.0725, 9.7656, 9.9792, 10.1096, 10.6234, 11.4611, 11.1866,
11.5340, 12.6989, 12.5123, 12.4551, 12.7498, 13.7989, 14.8790, 14.9153, 15.7185, 16.8491, 17.6928, 18.9916, 20.4151, 20.8787, 23.0467, 24.0786,
23.9131, 26.7264, 29.6957, 31.5726, 30.6883, 30.7095, 32.4033, 33.6668, 32.6064, 35.3191, 35.5506, 32.7684, 30.7089, 30.2450, 28.3120, 28.9599,
32.3043, 31.9938, 29.5215, 28.4304, 28.2681, 31.3298, 35.1424, 35.2869, 34.4890, 37.8555, 38.3495, 37.8349, 35.8143, 36.1248, 36.4637, 37.0226,

The  next  8  lines  contain  the  log  of  the  first,  these  are  the  valued  need  to  be  input  in  the  arduino  program  with  rev  >  0.2.0 
2.1539,3.0932,2.6409,2.0702,1.824,1.614,1.4484,1.3445,1.2549,1.0586,0.952,0.921,0.8741,0.747,0.7926,0.7289,
0.6512,0.5312,0.5404,0.4649,0.4661,0.4339,0.4185,0.3449,0.3218,0.2435,0.2216,0.2271,0.2141,0.0874,-0.0043,-0.1105,
-0.1129,-0.2416,-0.3372,-0.439,-0.5604,-0.6255,-0.7737,-0.8217,-0.8747,-0.9921,-1.1718,-1.2341,-1.2895,-1.4073,-1.4662,-1.5265,
-1.6025,-1.7005,-1.743,-1.8313,-1.8898,-1.9072,-1.8793,-1.8971,-1.9324,-1.9519,-2.0092,-2.0356,-2.0017,-2.1095,-2.1062,-2.1244,
-2.1203,-2.162,-2.1654,-2.2769,-2.2887,-2.2701,-2.3056,-2.3784,-2.3126,-2.3096,-2.2789,-2.3006,-2.3136,-2.3634,-2.4384,-2.4146,
-2.4453,-2.5421,-2.527,-2.522,-2.5459,-2.6242,-2.7001,-2.7031,-2.7551,-2.8235,-2.8735,-2.9431,-3.0159,-3.0386,-3.1373,-3.1821,
-3.1749,-3.2861,-3.3903,-3.4514,-3.4234,-3.4234,-3.477,-3.5166,-3.4835,-3.5649,-3.572,-3.49,-3.4234,-3.4082,-3.3439,-3.3668,
-3.4738,-3.4641,-3.3843,-3.3467,-3.341,-3.4451,-3.5579,-3.5649,-3.5405,-3.6344,-3.6458,-3.6344,-3.5791,-3.5863,-3.5972,-3.6119
